,Price,Area,Num_Rooms,Num_Halls,Location_Encoded,Floor_Encoded
1095,36000,140,4.0,1.0,33058.29596412556,0.0
1096,35000,120,3.0,1.0,33058.29596412556,11.0
1097,25000,70,2.0,1.0,24990.04975124378,39.0
1098,40000,115,2.0,1.0,36896.33375474084,18.0
1099,28000,120,3.0,1.0,36896.33375474084,11.0
1100,26000,75,2.0,1.0,33058.29596412556,34.0
1101,26000,65,1.0,1.0,33058.29596412556,39.0
1102,24500,55,1.0,1.0,33058.29596412556,33.0
1103,22000,75,2.0,1.0,33058.29596412556,0.0
1104,20000,125,3.0,1.0,17895.505617977527,0.0
1105,30000,95,2.0,1.0,26196.83908045977,39.0
1106,17500,120,3.0,1.0,17511.95219123506,18.0
1107,24000,120,3.0,1.0,24028.34008097166,11.0
1108,17500,115,3.0,1.0,17669.88416988417,18.0
1109,48000,133,3.0,1.0,36896.33375474084,0.0
1110,18500,100,3.0,1.0,18485.221674876848,0.0
1111,36000,190,4.0,1.0,36000.0,21.0
1112,13500,115,3.0,1.0,13661.904761904761,33.0
1113,24000,125,3.0,1.0,23984.615384615383,0.0
1114,33000,135,3.0,1.0,33000.0,18.0
1115,15000,100,3.0,1.0,17895.505617977527,27.0
1116,44000,150,3.0,1.0,44000.0,10.0
1117,49500,150,3.0,1.0,33058.29596412556,11.0
1118,39000,200,4.0,1.0,38472.906403940884,22.0
1119,36000,140,4.0,1.0,33058.29596412556,0.0
1120,35000,120,3.0,1.0,33058.29596412556,11.0
1121,25000,70,2.0,1.0,24990.04975124378,39.0
1122,40000,115,2.0,1.0,36896.33375474084,18.0
1123,28000,120,3.0,1.0,36896.33375474084,11.0
1124,26000,75,2.0,1.0,33058.29596412556,34.0
1125,26000,65,1.0,1.0,33058.29596412556,39.0
1126,24500,55,1.0,1.0,33058.29596412556,33.0
1127,22000,75,2.0,1.0,33058.29596412556,0.0
1128,20000,125,3.0,1.0,17895.505617977527,0.0
1129,30000,95,2.0,1.0,26196.83908045977,39.0
1130,17500,120,3.0,1.0,17511.95219123506,18.0
1131,24000,120,3.0,1.0,24028.34008097166,11.0
1132,17500,115,3.0,1.0,17669.88416988417,18.0
1133,48000,133,3.0,1.0,36896.33375474084,0.0
