,Price,Rooms,Area,Floor,Location,Num_Rooms,Num_Halls,District
3669,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3670,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3671,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
3672,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
3673,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3674,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
3675,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3676,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
3677,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3678,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3679,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3680,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3681,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3682,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3683,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3684,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3685,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3686,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3687,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3688,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3689,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
3690,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
3691,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
3692,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
3693,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3694,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3695,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
3696,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
3697,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3698,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
3699,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3700,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
3701,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3702,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3703,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3704,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3705,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3706,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3707,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3708,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3709,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3710,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3711,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3712,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3713,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
3714,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
3715,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
